"Sr.No","Round ▲▼","Institute ▲▼","PG Program ▲▼","Group ▲▼","Category ▲▼","Max GATE Score ▲▼","Min GATE Score ▲▼"
"1","Round 1","Indian Institute of Information Technology, Kota","Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science","G1","SC","357","346"
"2","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Data Science","G1","EWS","493","493"
"3","Round 1","Indian Institute of Information Technology, Vadodara, Gandhinagar Campus","Artificial Intelligence","G1","EWS","495","495"
"4","Round 1","International Institute of Information Technology, Naya Raipur","Electronics and Communication Engineering","G1","SC","290","290"
"5","Round 1","International Institute of Information Technology, Naya Raipur","Computer Science & Engineering","G1","EWS","479","479"
"6","Round 1","University of Hyderabad","Artificial Intelligence","G1","EWS","502","448"
"7","Round 1","University of Hyderabad","Computer Science","G1","OBC-NCL","491","464"
"8","Round 1","Central University of Rajasthan","Computer Science & Engineering","G1","OBC-NCL","448","410"
"9","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Laser and Electro Optics","G1","SC","338","318"
"10","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (Semiconductor Chip Design)","G1","ST","259","259"
"11","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Industrial Systems Engineering","G1","EWS","325","325"
"12","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Nanoscience and Technology","G1","OBC-NCL","376","337"
"13","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Computer Science & Engineering (Artificial Intelligence)","G1","EWS","516","516"
"14","Round 1","Guru Ghasidas Vishwavidyalaya, Bilaspur","Information Technology","G1","OPEN","448","393"
"15","Round 1","Indian Institute of Space Science and Technology, Thiruvananthapuram","Thermal and Propulsion","G1","OPEN-PwD","314","314"
"16","Round 1","National Institute of Technology, Rourkela","Energy and Environmental Engineering","G3","ST","252","252"
"17","Round 1","National Institute of Technology, Rourkela","Electronic Systems & Communication","G1","SC","463","362"
"18","Round 1","National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering","G1","SC","420","351"
"19","Round 1","National Institute of Technology, Rourkela","Mining Engineering","G2","OBC-NCL","404","394"
"20","Round 1","National Institute of Technology, Rourkela","Mining Engineering","G2","EWS","361","361"
"21","Round 1","National Institute of Technology, Rourkela","Power System Engineering","G1","OPEN","464","433"
"22","Round 1","National Institute of Technology, Silchar","Control & Industrial Automation","G1","SC","279","275"
"23","Round 1","National Institute of Technology, Silchar","Geotechnical Engineering","G1","ST","312","281"
"24","Round 1","National Institute of Technology, Silchar","Instrumentation Engineering","G1","ST","237","237"
"25","Round 1","National Institute of Technology, Silchar","Computer Science & Engineering","G1","SC","499","452"
"26","Round 1","National Institute of Technology, Srinagar","Power Electronics & Electrical Drives","G1","SC","288","262"
"27","Round 1","National Institute of Technology, Srinagar","Communication & Signal Processing","G1","OPEN","496","389"
"28","Round 1","National Institute of Technology, Tiruchirappalli","Environmental Engineering","G3","OBC-NCL","343","343"
"29","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Safety Engineering","G2","SC","318","318"
"30","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Automation","G1","OPEN","498","471"
"31","Round 1","National Institute of Technology, Tiruchirappalli","Material Science & Engineering","G1","OPEN","546","445"
"32","Round 1","National Institute of Technology, Tiruchirappalli","Non Destructive Testing","G1","OBC-NCL","397","370"
"33","Round 1","National Institute of Technology, Tiruchirappalli","Non Destructive Testing","G1","EWS","358","348"
"34","Round 1","National Institute of Technology, Tiruchirappalli","VLSI System","G1","OPEN","721","702"
"35","Round 1","National Institute of Technology, Tiruchirappalli","VLSI System","G2","EWS","649","648"
"36","Round 1","National Institute of Technology, Tiruchirappalli","Welding Engineering","G1","SC","394","283"
"37","Round 1","National Institute of Technology Uttarakhand","Signal Processing and Communication System","G1","OBC-NCL","366","346"
"38","Round 1","National Institute of Technology Uttarakhand","Signal Processing and Communication System","G1","EWS","329","329"
"39","Round 1","National Institute of Technology Uttarakhand","Artificial Intelligence and Machine Learning","G1","SC","389","377"
"40","Round 1","National Institute of Technology, Warangal","Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS)","G1","SC","434","405"
"41","Round 1","National Institute of Technology, Warangal","Materials and Manufacturing","G1","OBC-NCL","351","348"
"42","Round 1","National Institute of Technology, Warangal","Construction Technology and Management","G1","ST","344","325"
